         ps               mem_address             mem_write       mem_byte_enable             mem_wdata       
          delta                                                                                               
          0  +0                  xxxx                     x                     x                  xxxx 
          0  +1                  0000                     0                     3                  0000 
    3155000  +6                  00f4                     1                     3                  01e0 
    3385000  +4                  00f4                     0                     3                  01e0 
    5225000  +6                  00f6                     1                     3                  000a 
    5455000  +4                  00f6                     0                     3                  000a 
    6515000  +6                  00f8                     1                     3                  4537 
    6745000  +4                  00f8                     0                     3                  4537 
   10205000  +6                  00fa                     1                     3                  a342 
   10435000  +4                  00fa                     0                     3                  a342 
   10715000  +6                  00fc                     1                     3                  01a1 
   10945000  +4                  00fc                     0                     3                  01a1 
   11225000  +6                  00fe                     1                     3                  fe62 
   11455000  +4                  00fe                     0                     3                  fe62 
   12005000  +6                  0102                     1                     3                  0100 
   12235000  +4                  0102                     0                     3                  0100 
   13025000  +6                  0000                     1                     3                  fe6f 
   13035000  +3                  0000                     0                     3                  fe6f 
   21125000  +6                  0102                     1                     3                  001a 
   21355000  +4                  0102                     0                     3                  001a 
   22965000  +6                  0104                     1                     3                  ff9b 
   23195000  +4                  0104                     0                     3                  ff9b 
   24285000  +6                  0106                     1                     3                  000d 
   24515000  +4                  0106                     0                     3                  000d 
   26865000  +6                  0108                     1                     3                  517a 
   27095000  +4                  0108                     0                     3                  517a 
   29205000  +6                  010a                     1                     3                  0133 
   29435000  +4                  010a                     0                     3                  0133 
   30525000  +6                  0106                     1                     1                  0090 
   30755000  +4                  0106                     0                     3                  0090 
   31035000  +6                  0104                     1                     2                  00ac 
   31265000  +4                  0104                     0                     3                  00ac 
   32055000  +6                  010a                     1                     3                  0000 
   32285000  +4                  010a                     0                     3                  0000 
   32835000  +6                  0110                     1                     3                  00f2 
   33065000  +4                  0110                     0                     3                  00f2 
   34095000  +6                  010e                     1                     3                  e06a 
   34325000  +4                  010e                     0                     3                  e06a 
   35925000  +6                  00a2                     1                     3                  126c 
   36155000  +4                  00a2                     0                     3                  126c 
   36705000  +6                  0112                     1                     3                  000c 
   36935000  +4                  0112                     0                     3                  000c 
   38265000  +6                  0114                     1                     3                  ae85 
   38495000  +4                  0114                     0                     3                  ae85 
   41665000  +6                  0116                     1                     3                  600d 
   41895000  +4                  0116                     0                     3                  600d 
   43265000  +6                  0118                     1                     3                  00d8 
   43495000  +4                  0118                     0                     3                  00d8 
